GeoCell,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
24°N / 81°W,2538,7175,4471,4741,3315,4531,3251,3958,5801,8317,11308,12762
26°N / 81°W,1773,2756,2177,1981,2011,2079,1425,2416,6555,7630,5288,8273
28°N / 84°W,1985,2619,2117,2707,2483,2162,1516,2627,4168,5741,6421,8746
32°N / 114°W,3655,5838,4684,5882,4117,3629,3931,7158,12256,15217,17182,11589
32°N / 120°W,2063,1998,2189,2801,3118,3492,2964,3284,3310,4052,3046,3827
34°N / 120°W,2585,2753,2898,3414,3560,4120,3428,4132,5075,5339,4379,4878
38°N / 78°W,3557,2959,4460,6666,5940,7760,6222,8916,8756,9304,7550,6563
40°N / 75°W,5915,6792,8313,12816,13734,18148,13022,16672,30695,23618,17561,16485
40°N / 78°W,2423,2162,3192,5177,6125,7730,5259,5767,8244,8462,5748,4007
40°N / 81°W,1113,977,1638,2925,3928,5310,4012,4451,5854,5742,3684,2304
40°N / 90°W,899,980,1492,2707,3321,5146,4343,5489,7315,6791,5718,2994
42°N / 90°W,827,1045,1179,2220,2419,3463,3192,3736,6673,6597,4053,1670
