Feature_A,Feature_B,PR(A→B),PR(B→A),"PI(A,B)",Prev(A),Prev(B),Normalized_PI
Station,Amenity,0.8167,0.8724,0.8167,0.1029,0.0742,11.0069
Traffic_Signal,Crossing,0.7585,0.9296,0.7585,0.2413,0.1836,4.1312
Railway,Amenity,0.7695,0.6954,0.6954,0.0341,0.0742,20.3736
Station,Railway,0.6483,0.7852,0.6483,0.1029,0.0341,18.9936
Crossing,Station,0.642,0.9378,0.642,0.1836,0.1029,6.2368
Crossing,Amenity,0.6144,0.9299,0.6144,0.1836,0.0742,8.28
Bump,Traffic_Calming,1.0,0.6,0.6,0.0012,0.002,500.0
Station,Stop,0.6613,0.5727,0.5727,0.1029,0.0509,11.2596
Crossing,Stop,0.557,0.7457,0.557,0.1836,0.0509,10.9504
Stop,Amenity,0.5518,0.7907,0.5518,0.0509,0.0742,10.8474
Traffic_Signal,Station,0.5424,0.9676,0.5424,0.2413,0.1029,5.2696
Traffic_Signal,Amenity,0.5236,0.9578,0.5236,0.2413,0.0742,7.0569
Junction,Traffic_Signal,0.5195,0.5007,0.5007,0.0838,0.2413,5.9748
Amenity,No_Exit,0.4978,0.8515,0.4978,0.0742,0.0067,73.9238
Crossing,Railway,0.4648,0.9629,0.4648,0.1836,0.0341,13.6166
Traffic_Signal,Stop,0.4493,0.7182,0.4493,0.2413,0.0509,8.8328
Railway,No_Exit,0.4375,0.6931,0.4375,0.0341,0.0067,64.9752
Railway,Stop,0.709,0.4142,0.4142,0.0341,0.0509,12.1334
Station,No_Exit,0.4048,0.8614,0.4048,0.1029,0.0067,60.1177
Traffic_Signal,Railway,0.4043,0.8945,0.4043,0.2413,0.0341,11.8434
Junction,Crossing,0.3874,0.5113,0.3874,0.0838,0.1836,4.6233
Amenity,Traffic_Calming,0.3387,0.8,0.3387,0.0742,0.002,169.3621
Railway,Traffic_Calming,0.3184,0.3333,0.3184,0.0341,0.002,159.1797
Stop,No_Exit,0.3159,0.7525,0.3159,0.0509,0.0067,46.9097
Crossing,No_Exit,0.2792,0.9802,0.2792,0.1836,0.0067,41.4698
No_Exit,Traffic_Calming,0.2673,0.2667,0.2667,0.0067,0.002,133.3333
Junction,Station,0.2609,0.5674,0.2609,0.0838,0.1029,3.1138
Junction,Amenity,0.2426,0.6649,0.2426,0.0838,0.0742,3.2701
Bump,No_Exit,0.3889,0.2376,0.2376,0.0012,0.0067,198.0198
Junction,Stop,0.2283,0.4142,0.2283,0.0838,0.0509,4.4886
Station,Traffic_Calming,0.2222,0.8,0.2222,0.1029,0.002,111.0751
Traffic_Signal,No_Exit,0.215,0.9901,0.215,0.2413,0.0067,31.9272
Junction,Railway,0.2084,0.7324,0.2084,0.0838,0.0341,6.1064
Stop,Traffic_Calming,0.1664,0.7,0.1664,0.0509,0.002,83.2241
Crossing,Traffic_Calming,0.1612,0.9333,0.1612,0.1836,0.002,80.61
Stop,Give_Way,0.1337,0.4239,0.1337,0.0509,0.0061,21.7961
Traffic_Signal,Traffic_Calming,0.1277,0.8667,0.1277,0.2413,0.002,63.8298
Give_Way,No_Exit,0.1196,0.2079,0.1196,0.0061,0.0067,19.4943
Station,Give_Way,0.1114,0.2391,0.1114,0.1029,0.0061,18.1629
Traffic_Signal,Give_Way,0.1025,0.7391,0.1025,0.2413,0.0061,16.7143
Crossing,Give_Way,0.102,0.6304,0.102,0.1836,0.0061,16.6359
Amenity,Bump,0.0979,0.8889,0.0979,0.0742,0.0012,81.6113
Railway,Give_Way,0.0977,0.1304,0.0977,0.0341,0.0061,15.9222
Stop,Bump,0.097,0.7778,0.097,0.0509,0.0012,80.8213
Station,Bump,0.0939,0.8889,0.0939,0.1029,0.0012,78.2599
Amenity,Give_Way,0.0881,0.2174,0.0881,0.0742,0.0061,14.356
Junction,No_Exit,0.0748,0.5743,0.0748,0.0838,0.0067,11.1061
Railway,Bump,0.0742,0.2222,0.0742,0.0341,0.0012,61.849
Junction,Give_Way,0.0724,0.4022,0.0724,0.0838,0.0061,11.8035
Crossing,Bump,0.049,0.8889,0.049,0.1836,0.0012,40.8497
Give_Way,Traffic_Calming,0.0435,0.0667,0.0435,0.0061,0.002,21.7391
Bump,Give_Way,0.1111,0.0435,0.0435,0.0012,0.0061,36.2319
Traffic_Signal,Bump,0.0301,0.8333,0.0301,0.2413,0.0012,25.099
Junction,Traffic_Calming,0.0239,0.4,0.0239,0.0838,0.002,11.9332
Junction,Bump,0.0095,0.3333,0.0095,0.0838,0.0012,7.9554
Roundabout,Stop,0.3333,0.0013,0.0013,0.0002,0.0509,6.5531
Roundabout,Amenity,0.3333,0.0009,0.0009,0.0002,0.0742,4.4924
Crossing,Roundabout,0.0004,0.3333,0.0004,0.1836,0.0002,1.8155
Traffic_Signal,Roundabout,0.0,0.0,0.0,0.2413,0.0002,0.0
Junction,Turning_Loop,0.0,0.0,0.0,0.0838,0.0,0.0
Junction,Roundabout,0.0,0.0,0.0,0.0838,0.0002,0.0
Traffic_Signal,Turning_Loop,0.0,0.0,0.0,0.2413,0.0,0.0
Roundabout,Give_Way,0.0,0.0,0.0,0.0002,0.0061,0.0
Roundabout,No_Exit,0.0,0.0,0.0,0.0002,0.0067,0.0
Roundabout,Traffic_Calming,0.0,0.0,0.0,0.0002,0.002,0.0
Roundabout,Turning_Loop,0.0,0.0,0.0,0.0002,0.0,0.0
Roundabout,Station,0.0,0.0,0.0,0.0002,0.1029,0.0
Crossing,Turning_Loop,0.0,0.0,0.0,0.1836,0.0,0.0
Roundabout,Railway,0.0,0.0,0.0,0.0002,0.0341,0.0
Roundabout,Bump,0.0,0.0,0.0,0.0002,0.0012,0.0
Railway,Turning_Loop,0.0,0.0,0.0,0.0341,0.0,0.0
Station,Turning_Loop,0.0,0.0,0.0,0.1029,0.0,0.0
Amenity,Turning_Loop,0.0,0.0,0.0,0.0742,0.0,0.0
Stop,Turning_Loop,0.0,0.0,0.0,0.0509,0.0,0.0
Bump,Turning_Loop,0.0,0.0,0.0,0.0012,0.0,0.0
Give_Way,Turning_Loop,0.0,0.0,0.0,0.0061,0.0,0.0
No_Exit,Turning_Loop,0.0,0.0,0.0,0.0067,0.0,0.0
Traffic_Calming,Turning_Loop,0.0,0.0,0.0,0.002,0.0,0.0
