Pattern,Frequency,Length,Support
HH,21,2,0.29577464788732394
LL,20,2,0.28169014084507044
HHH,19,3,0.2676056338028169
HHHH,18,4,0.2535211267605634
MM,17,2,0.23943661971830985
LLL,17,3,0.23943661971830985
MMM,15,3,0.2112676056338028
LLLL,14,4,0.19718309859154928
MMMM,13,4,0.18309859154929578
LM,4,2,0.056338028169014086
ML,3,2,0.04225352112676056
MH,3,2,0.04225352112676056
LLM,3,3,0.04225352112676056
LML,3,3,0.04225352112676056
LLLM,3,4,0.04225352112676056
HM,2,2,0.028169014084507043
MLL,2,3,0.028169014084507043
MMH,2,3,0.028169014084507043
MHH,2,3,0.028169014084507043
LLML,2,4,0.028169014084507043
