State_A,State_B,Co-activation Lift
AZ,OR,1.1913
VA,OR,1.1774
IN,OR,1.1511
AZ,VA,1.1415
CO,OR,1.1356
GA,OR,1.1293
AZ,GA,1.1196
VA,GA,1.1169
CO,VA,1.1143
AZ,CO,1.1136
IN,VA,1.1124
AZ,IN,1.108
WA,OR,1.1027
FL,OR,1.1012
CO,GA,1.0977
AZ,WA,1.0953
FL,AZ,1.0942
TX,OR,1.0933
VA,WA,1.0928
AZ,TX,1.0928
FL,VA,1.0914
TX,GA,1.0884
AZ,IL,1.0856
FL,GA,1.0853
TX,VA,1.0846
TX,CO,1.0834
FL,CO,1.0827
IL,VA,1.082
CO,WA,1.0818
IL,GA,1.0778
GA,WA,1.0777
IL,OR,1.0765
FL,TX,1.075
IL,WA,1.0749
FL,WA,1.0734
TX,WA,1.073
IL,CO,1.0722
TX,IL,1.0708
IN,GA,1.0701
NJ,OR,1.0686
NJ,VA,1.0679
CO,IN,1.0676
FL,IL,1.0652
AZ,NJ,1.065
NJ,GA,1.0586
NJ,IN,1.0572
NJ,WA,1.056
FL,NJ,1.0547
IL,NJ,1.0533
CO,NJ,1.0514
TX,NJ,1.0503
IN,WA,1.0427
IL,IN,1.04
FL,IN,1.0367
PA,NJ,1.036
CA,OR,1.036
TX,IN,1.0358
PA,AZ,1.0351
PA,VA,1.0347
PA,OR,1.0343
PA,WA,1.0335
CA,AZ,1.0324
PA,GA,1.0324
PA,CO,1.0319
CA,VA,1.0319
CA,NJ,1.0317
FL,PA,1.0304
NY,VA,1.0304
PA,IL,1.03
NY,NJ,1.03
CA,CO,1.0299
FL,CA,1.0298
NY,AZ,1.0297
NY,OR,1.0296
FL,NY,1.0295
CA,GA,1.0294
PA,TX,1.0292
NY,CO,1.0288
CA,IL,1.0285
NY,WA,1.0284
NY,GA,1.0281
NY,IL,1.0273
NY,TX,1.0273
IN,OH,1.0271
CA,TX,1.0265
CA,WA,1.0253
OH,OR,1.0244
NJ,OH,1.0223
NY,CA,1.0212
NY,PA,1.0211
OH,VA,1.0207
OH,GA,1.0202
CA,PA,1.0199
PA,IN,1.0188
OH,WA,1.0186
IL,OH,1.0177
AZ,OH,1.0173
CA,IN,1.0154
CO,OH,1.0143
FL,OH,1.0131
PA,OH,1.0098
TX,OH,1.0095
NY,IN,1.0052
NY,OH,1.0048
CA,OH,1.0034
