,FL,NY,CA,PA,AZ,TX,IL,CO,NJ,IN,OH,VA,GA,WA,OR
FL,0.6517,0.1219,0.107,0.0473,0.0199,0.0274,0.0025,0.0199,0.0,0.0,0.0025,0.0,0.0,0.0,0.0
NY,0.1262,0.5146,0.1311,0.1578,0.0073,0.0146,0.0121,0.0146,0.0121,0.0,0.0049,0.0,0.0049,0.0,0.0
CA,0.0534,0.0858,0.7075,0.0605,0.0,0.007,0.0309,0.0141,0.0042,0.0028,0.0141,0.0,0.0155,0.0014,0.0028
PA,0.0414,0.1685,0.1492,0.5663,0.0,0.0138,0.0055,0.0055,0.0055,0.0,0.0304,0.0,0.0083,0.0055,0.0
AZ,0.4667,0.1333,0.0667,0.1333,0.1333,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,0.3333,0.1111,0.1333,0.1333,0.0,0.2222,0.0,0.0,0.0,0.0,0.0444,0.0,0.0222,0.0,0.0
IL,0.0698,0.1163,0.2326,0.1163,0.0,0.0698,0.2326,0.0,0.0,0.0,0.0233,0.0,0.1163,0.0233,0.0
CO,0.1081,0.1081,0.3514,0.1081,0.0,0.027,0.0,0.2432,0.0,0.0,0.0,0.0,0.027,0.027,0.0
NJ,0.1,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.6667,0.0,0.0,0.0,0.0
OH,0.0484,0.0161,0.2097,0.129,0.0323,0.0323,0.0161,0.0,0.0,0.129,0.3871,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,0.069,0.2069,0.3103,0.1034,0.0,0.0,0.0345,0.0345,0.0,0.0,0.0345,0.0,0.2069,0.0,0.0
WA,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
